State,Year,MenHealth_MeanValue
AK,2018.0,15.97972972972973
AK,2019.0,15.263157894736842
AK,2020.0,12.308219178082192
AK,2021.0,15.19718309859155
AK,2022.0,16.423423423423422
AK,2023.0,15.75
AK,2024.0,25.0
AL,2018.0,17.1484375
AL,2019.0,17.654676258992804
AL,2020.0,14.876923076923077
AL,2021.0,16.620967741935484
AL,2022.0,18.007194244604317
AL,2023.0,17.430232558139537
AL,2024.0,13.444444444444445
AR,2018.0,18.636103151862464
AR,2019.0,17.190751445086704
AR,2020.0,16.96
AR,2021.0,16.578397212543553
AR,2022.0,16.99421965317919
AR,2023.0,16.73202614379085
AR,2024.0,18.6
AZ,2018.0,17.305019305019304
AZ,2019.0,16.37459283387622
AZ,2020.0,15.95945945945946
AZ,2021.0,16.271493212669682
AZ,2022.0,17.028455284552845
AZ,2023.0,15.446153846153846
AZ,2024.0,20.3
CA,2018.0,15.724890829694322
CA,2019.0,15.683385579937305
CA,2020.0,14.355371900826446
CA,2021.0,16.648809523809526
CA,2022.0,15.344537815126051
CA,2023.0,16.014851485148515
CA,2024.0,17.34259259259259
CO,2018.0,14.385826771653543
CO,2019.0,14.623239436619718
CO,2020.0,14.7720207253886
CO,2021.0,15.739837398373984
CO,2022.0,18.224489795918366
CO,2023.0,14.942528735632184
CO,2024.0,16.166666666666668
CT,2018.0,15.536057692307692
CT,2019.0,15.168091168091168
CT,2020.0,14.175257731958762
CT,2021.0,13.73394495412844
CT,2022.0,17.27848101265823
CT,2023.0,16.988505747126435
CT,2024.0,10.11111111111111
DC,2018.0,14.815533980582524
DC,2019.0,13.28
DC,2020.0,13.718181818181819
DC,2021.0,11.915492957746478
DC,2022.0,15.045454545454545
DC,2023.0,17.852941176470587
DC,2024.0,7.0
DE,2018.0,16.748387096774195
DE,2019.0,15.276190476190477
DE,2020.0,16.073529411764707
DE,2021.0,17.43859649122807
DE,2022.0,16.295454545454547
DE,2023.0,14.91358024691358
FL,2018.0,16.933701657458563
FL,2019.0,18.167213114754098
FL,2020.0,17.437158469945356
FL,2021.0,17.0
FL,2022.0,16.68421052631579
FL,2023.0,16.705882352941178
FL,2024.0,20.125
GA,2018.0,16.22360248447205
GA,2019.0,16.599137931034484
GA,2020.0,16.174242424242426
GA,2021.0,16.44178082191781
GA,2022.0,17.01145038167939
GA,2023.0,16.455223880597014
GA,2024.0,16.5
GU,2018.0,11.889908256880734
GU,2019.0,13.417322834645669
GU,2020.0,14.025641025641026
GU,2021.0,13.209302325581396
GU,2022.0,13.969696969696969
