State,Year,MenHealth_MeanValue
NE,2022.0,14.199233716475096
NE,2023.0,15.458536585365854
NE,2024.0,18.11111111111111
NH,2018.0,17.079245283018867
NH,2019.0,16.52029520295203
NH,2020.0,15.6203007518797
NH,2021.0,14.66220735785953
NH,2022.0,16.04561403508772
NH,2023.0,15.816976127320954
NH,2024.0,17.384615384615383
NJ,2018.0,14.830188679245284
NJ,2019.0,18.35
NJ,2020.0,13.435754189944134
NJ,2021.0,14.774193548387096
NJ,2022.0,15.529411764705882
NJ,2023.0,14.835714285714285
NJ,2024.0,6.2
NM,2018.0,16.805309734513273
NM,2019.0,17.00896860986547
NM,2020.0,15.559055118110237
NM,2021.0,17.774774774774773
NM,2022.0,17.293333333333333
NM,2023.0,14.781609195402298
NM,2024.0,17.454545454545453
NV,2018.0,17.086206896551722
NV,2019.0,16.189655172413794
NV,2020.0,19.3125
NV,2021.0,16.954545454545453
NV,2022.0,19.90909090909091
NV,2023.0,18.982142857142858
NV,2024.0,30.0
NY,2018.0,15.905465288035451
NY,2019.0,16.3765243902439
NY,2020.0,15.463617463617464
NY,2021.0,15.728461538461538
NY,2022.0,14.87111111111111
NY,2023.0,16.227678571428573
NY,2024.0,23.0
OH,2018.0,17.540656205420827
OH,2019.0,17.288537549407113
OH,2020.0,15.894736842105264
OH,2021.0,16.726726726726728
OH,2022.0,16.732142857142858
OH,2023.0,17.240625
OH,2024.0,19.894736842105264
OK,2018.0,17.368715083798882
OK,2019.0,15.979591836734693
OK,2020.0,18.403361344537814
OK,2021.0,18.50943396226415
OK,2022.0,15.724770642201834
OK,2023.0,17.62857142857143
OR,2018.0,15.556603773584905
OR,2019.0,15.401960784313726
OR,2020.0,16.25
OR,2021.0,15.28169014084507
OR,2022.0,13.415384615384616
OR,2023.0,18.661538461538463
PA,2018.0,18.348101265822784
PA,2019.0,16.375
PA,2020.0,14.637362637362637
PA,2021.0,14.945054945054945
PA,2022.0,17.482142857142858
PR,2018.0,18.15686274509804
PR,2019.0,17.162790697674417
PR,2021.0,21.666666666666668
PR,2022.0,20.154929577464788
PR,2023.0,21.466666666666665
PR,2024.0,30.0
RI,2018.0,16.773333333333333
RI,2019.0,16.067460317460316
RI,2020.0,14.414634146341463
RI,2021.0,13.086206896551724
RI,2022.0,16.23728813559322
RI,2023.0,16.602564102564102
RI,2024.0,13.5
SC,2018.0,16.056880733944954
SC,2019.0,15.49442379182156
SC,2020.0,16.916083916083917
SC,2021.0,16.692737430167597
SC,2022.0,16.130909090909093
SC,2023.0,17.186311787072242
SC,2024.0,19.5
SD,2018.0,14.809352517985612
SD,2019.0,14.757425742574258
SD,2020.0,14.886486486486486
SD,2021.0,16.87730061349693
SD,2022.0,16.466666666666665
SD,2023.0,16.186274509803923
TN,2018.0,18.6
TN,2019.0,16.969827586206897
TN,2020.0,17.57758620689655
TN,2021.0,17.03191489361702
TN,2022.0,19.275229357798164
TN,2023.0,18.16346153846154
TX,2018.0,16.45124716553288
TX,2019.0,16.77173913043478
TX,2020.0,15.810256410256411
TX,2021.0,16.742268041237114
TX,2022.0,15.62937062937063
TX,2023.0,16.304347826086957
TX,2024.0,17.375
UT,2018.0,13.688524590163935
UT,2019.0,14.594202898550725
UT,2020.0,14.96958174904943
UT,2021.0,14.290322580645162
UT,2022.0,16.30167597765363
UT,2023.0,16.533980582524272
VA,2018.0,15.098280098280098
VA,2019.0,15.04361370716511
VA,2020.0,14.160839160839162
VA,2021.0,16.2680412371134
VA,2022.0,16.244988864142538
VA,2023.0,17.583892617449663
VI,2021.0,15.222222222222221
VI,2022.0,12.083333333333334
VI,2023.0,14.0
VT,2018.0,15.724458204334365
VT,2019.0,15.2
VT,2020.0,14.090566037735849
VT,2021.0,15.505494505494505
VT,2022.0,13.276729559748428
VT,2023.0,15.333333333333334
WA,2018.0,15.853383458646617
WA,2019.0,16.431372549019606
WA,2020.0,16.043227665706052
WA,2021.0,14.839907192575406
WA,2022.0,16.593856655290104
WA,2023.0,14.564755838641188
WA,2024.0,11.0
WI,2018.0,16.16393442622951
WI,2019.0,16.30952380952381
WI,2020.0,14.640287769784173
WI,2021.0,14.988095238095237
WI,2022.0,16.0
WI,2023.0,16.628048780487806
WI,2024.0,17.100456621004565
WV,2018.0,18.17699115044248
WV,2019.0,18.693975903614458
WV,2020.0,18.05637982195846
WV,2021.0,18.660066006600662
WV,2022.0,18.13095238095238
WV,2023.0,18.69333333333333
WY,2018.0,16.356382978723403
WY,2019.0,15.757990867579908
WY,2020.0,15.45086705202312
WY,2021.0,15.872222222222222
WY,2022.0,16.723684210526315
WY,2023.0,16.15979381443299
